Month,Region_x,Channel,Marketing Spend (€),Competitor Sales Jacquet (€),Competitor Sales La Boulangère (€),Region_y,Sales Channel,Product Type,Units Sold,Revenue (€),ROI
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Membership,White,2200,11000,-0.45
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Membership,Brown,1900,9500,-0.525
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Membership,Multigrain,1600,8000,-0.6
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Retail,White,4500,18000,-0.1
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Retail,Brown,3800,15200,-0.24
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Retail,Multigrain,3000,12000,-0.4
2023-01-01,Paris,Retail,20000,85000,70000,South France,Online,White,1100,5500,-0.725
2023-01-01,Paris,Retail,20000,85000,70000,South France,Online,Brown,900,4500,-0.775
2023-01-01,Paris,Retail,20000,85000,70000,South France,Online,Multigrain,700,3500,-0.825
2023-01-01,Paris,Retail,20000,85000,70000,South France,Membership,White,1400,7000,-0.65
2023-01-01,Paris,Retail,20000,85000,70000,South France,Membership,Brown,1200,6000,-0.7
2023-01-01,Paris,Retail,20000,85000,70000,South France,Membership,Multigrain,1000,5000,-0.75
2023-01-01,Paris,Retail,20000,85000,70000,South France,Retail,White,2500,10000,-0.5
2023-01-01,Paris,Retail,20000,85000,70000,South France,Retail,Brown,2100,8400,-0.58
2023-01-01,Paris,Retail,20000,85000,70000,South France,Retail,Multigrain,1700,6800,-0.66
2023-01-01,South France,Online,8000,35000,30000,Paris,Online,White,1800,9000,0.125
2023-01-01,South France,Online,8000,35000,30000,Paris,Online,Brown,1500,7500,-0.0625
2023-01-01,South France,Online,8000,35000,30000,Paris,Online,Multigrain,1200,6000,-0.25
2023-01-01,South France,Online,8000,35000,30000,Paris,Membership,White,2200,11000,0.375
2023-01-01,South France,Online,8000,35000,30000,Paris,Membership,Brown,1900,9500,0.1875
2023-01-01,South France,Online,8000,35000,30000,Paris,Membership,Multigrain,1600,8000,0.0
2023-01-01,South France,Online,8000,35000,30000,Paris,Retail,White,4500,18000,1.25
2023-01-01,South France,Online,8000,35000,30000,Paris,Retail,Brown,3800,15200,0.9
2023-01-01,South France,Online,8000,35000,30000,Paris,Retail,Multigrain,3000,12000,0.5
2023-01-01,South France,Online,8000,35000,30000,South France,Online,White,1100,5500,-0.3125
2023-01-01,South France,Online,8000,35000,30000,South France,Online,Brown,900,4500,-0.4375
2023-01-01,South France,Online,8000,35000,30000,South France,Online,Multigrain,700,3500,-0.5625
2023-01-01,South France,Online,8000,35000,30000,South France,Membership,White,1400,7000,-0.125
2023-01-01,South France,Online,8000,35000,30000,South France,Membership,Brown,1200,6000,-0.25
2023-01-01,South France,Online,8000,35000,30000,South France,Membership,Multigrain,1000,5000,-0.375
2023-01-01,South France,Online,8000,35000,30000,South France,Retail,White,2500,10000,0.25
2023-01-01,South France,Online,8000,35000,30000,South France,Retail,Brown,2100,8400,0.05
2023-01-01,South France,Online,8000,35000,30000,South France,Retail,Multigrain,1700,6800,-0.15
2023-01-01,South France,Membership,10000,40000,35000,Paris,Online,White,1800,9000,-0.1
2023-01-01,South France,Membership,10000,40000,35000,Paris,Online,Brown,1500,7500,-0.25
2023-01-01,South France,Membership,10000,40000,35000,Paris,Online,Multigrain,1200,6000,-0.4
2023-01-01,South France,Membership,10000,40000,35000,Paris,Membership,White,2200,11000,0.1
2023-01-01,South France,Membership,10000,40000,35000,Paris,Membership,Brown,1900,9500,-0.05
2023-01-01,South France,Membership,10000,40000,35000,Paris,Membership,Multigrain,1600,8000,-0.2
2023-01-01,South France,Membership,10000,40000,35000,Paris,Retail,White,4500,18000,0.8
2023-01-01,South France,Membership,10000,40000,35000,Paris,Retail,Brown,3800,15200,0.52
2023-01-01,South France,Membership,10000,40000,35000,Paris,Retail,Multigrain,3000,12000,0.2
2023-01-01,South France,Membership,10000,40000,35000,South France,Online,White,1100,5500,-0.45
2023-01-01,South France,Membership,10000,40000,35000,South France,Online,Brown,900,4500,-0.55
2023-01-01,South France,Membership,10000,40000,35000,South France,Online,Multigrain,700,3500,-0.65
2023-01-01,South France,Membership,10000,40000,35000,South France,Membership,White,1400,7000,-0.3
2023-01-01,South France,Membership,10000,40000,35000,South France,Membership,Brown,1200,6000,-0.4
2023-01-01,South France,Membership,10000,40000,35000,South France,Membership,Multigrain,1000,5000,-0.5
2023-01-01,South France,Membership,10000,40000,35000,South France,Retail,White,2500,10000,0.0
2023-01-01,South France,Membership,10000,40000,35000,South France,Retail,Brown,2100,8400,-0.16
2023-01-01,South France,Membership,10000,40000,35000,South France,Retail,Multigrain,1700,6800,-0.32
2023-01-01,South France,Retail,14000,60000,50000,Paris,Online,White,1800,9000,-0.35714285714285715
2023-01-01,South France,Retail,14000,60000,50000,Paris,Online,Brown,1500,7500,-0.4642857142857143
2023-01-01,South France,Retail,14000,60000,50000,Paris,Online,Multigrain,1200,6000,-0.5714285714285714
2023-01-01,South France,Retail,14000,60000,50000,Paris,Membership,White,2200,11000,-0.21428571428571427
2023-01-01,South France,Retail,14000,60000,50000,Paris,Membership,Brown,1900,9500,-0.32142857142857145
2023-01-01,South France,Retail,14000,60000,50000,Paris,Membership,Multigrain,1600,8000,-0.42857142857142855
2023-01-01,South France,Retail,14000,60000,50000,Paris,Retail,White,4500,18000,0.2857142857142857
2023-01-01,South France,Retail,14000,60000,50000,Paris,Retail,Brown,3800,15200,0.08571428571428572
2023-01-01,South France,Retail,14000,60000,50000,Paris,Retail,Multigrain,3000,12000,-0.14285714285714285
2023-01-01,South France,Retail,14000,60000,50000,South France,Online,White,1100,5500,-0.6071428571428571
2023-01-01,South France,Retail,14000,60000,50000,South France,Online,Brown,900,4500,-0.6785714285714286
2023-01-01,South France,Retail,14000,60000,50000,South France,Online,Multigrain,700,3500,-0.75
2023-01-01,South France,Retail,14000,60000,50000,South France,Membership,White,1400,7000,-0.5
2023-01-01,South France,Retail,14000,60000,50000,South France,Membership,Brown,1200,6000,-0.5714285714285714
2023-01-01,South France,Retail,14000,60000,50000,South France,Membership,Multigrain,1000,5000,-0.6428571428571429
2023-01-01,South France,Retail,14000,60000,50000,South France,Retail,White,2500,10000,-0.2857142857142857
2023-01-01,South France,Retail,14000,60000,50000,South France,Retail,Brown,2100,8400,-0.4
2023-01-01,South France,Retail,14000,60000,50000,South France,Retail,Multigrain,1700,6800,-0.5142857142857142
2023-02-01,Paris,Online,12500,57000,47000,Paris,Online,White,1850,9250,-0.26
2023-02-01,Paris,Online,12500,57000,47000,Paris,Online,Brown,1550,7750,-0.38
2023-02-01,Paris,Online,12500,57000,47000,Paris,Online,Multigrain,1250,6250,-0.5
2023-02-01,Paris,Online,12500,57000,47000,Paris,Membership,White,2250,11250,-0.1
2023-02-01,Paris,Online,12500,57000,47000,Paris,Membership,Brown,1950,9750,-0.22
2023-02-01,Paris,Online,12500,57000,47000,Paris,Membership,Multigrain,1650,8250,-0.34
2023-02-01,Paris,Online,12500,57000,47000,Paris,Retail,White,4600,18400,0.472
2023-02-01,Paris,Online,12500,57000,47000,Paris,Retail,Brown,3900,15600,0.248
2023-02-01,Paris,Online,12500,57000,47000,Paris,Retail,Multigrain,3100,12400,-0.008
2023-02-01,Paris,Online,12500,57000,47000,South France,Online,White,1150,5750,-0.54
2023-02-01,Paris,Online,12500,57000,47000,South France,Online,Brown,950,4750,-0.62
2023-02-01,Paris,Online,12500,57000,47000,South France,Online,Multigrain,750,3750,-0.7
2023-02-01,Paris,Online,12500,57000,47000,South France,Membership,White,1450,7250,-0.42
2023-02-01,Paris,Online,12500,57000,47000,South France,Membership,Brown,1250,6250,-0.5
2023-02-01,Paris,Online,12500,57000,47000,South France,Membership,Multigrain,1050,5250,-0.58
2023-02-01,Paris,Online,12500,57000,47000,South France,Retail,White,2600,10400,-0.168
2023-02-01,Paris,Online,12500,57000,47000,South France,Retail,Brown,2200,8800,-0.296
2023-02-01,Paris,Online,12500,57000,47000,South France,Retail,Multigrain,1750,7000,-0.44
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Online,White,1850,9250,-0.4032258064516129
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Online,Brown,1550,7750,-0.5
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Online,Multigrain,1250,6250,-0.5967741935483871
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Membership,White,2250,11250,-0.27419354838709675
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Membership,Brown,1950,9750,-0.3709677419354839
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Membership,Multigrain,1650,8250,-0.46774193548387094
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Retail,White,4600,18400,0.1870967741935484
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Retail,Brown,3900,15600,0.0064516129032258064
2023-02-01,Paris,Membership,15500,62000,52000,Paris,Retail,Multigrain,3100,12400,-0.2
2023-02-01,Paris,Membership,15500,62000,52000,South France,Online,White,1150,5750,-0.6290322580645161
2023-02-01,Paris,Membership,15500,62000,52000,South France,Online,Brown,950,4750,-0.6935483870967742
2023-02-01,Paris,Membership,15500,62000,52000,South France,Online,Multigrain,750,3750,-0.7580645161290323
2023-02-01,Paris,Membership,15500,62000,52000,South France,Membership,White,1450,7250,-0.532258064516129
2023-02-01,Paris,Membership,15500,62000,52000,South France,Membership,Brown,1250,6250,-0.5967741935483871
2023-02-01,Paris,Membership,15500,62000,52000,South France,Membership,Multigrain,1050,5250,-0.6612903225806451
2023-02-01,Paris,Membership,15500,62000,52000,South France,Retail,White,2600,10400,-0.32903225806451614
2023-02-01,Paris,Membership,15500,62000,52000,South France,Retail,Brown,2200,8800,-0.432258064516129
2023-02-01,Paris,Membership,15500,62000,52000,South France,Retail,Multigrain,1750,7000,-0.5483870967741935
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Online,White,1850,9250,-0.5487804878048781
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Online,Brown,1550,7750,-0.6219512195121951
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Online,Multigrain,1250,6250,-0.6951219512195121
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Membership,White,2250,11250,-0.45121951219512196
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Membership,Brown,1950,9750,-0.524390243902439
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Membership,Multigrain,1650,8250,-0.5975609756097561
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Retail,White,4600,18400,-0.1024390243902439
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Retail,Brown,3900,15600,-0.23902439024390243
2023-02-01,Paris,Retail,20500,87000,72000,Paris,Retail,Multigrain,3100,12400,-0.3951219512195122
2023-02-01,Paris,Retail,20500,87000,72000,South France,Online,White,1150,5750,-0.7195121951219512
2023-02-01,Paris,Retail,20500,87000,72000,South France,Online,Brown,950,4750,-0.7682926829268293
2023-02-01,Paris,Retail,20500,87000,72000,South France,Online,Multigrain,750,3750,-0.8170731707317073
2023-02-01,Paris,Retail,20500,87000,72000,South France,Membership,White,1450,7250,-0.6463414634146342
2023-02-01,Paris,Retail,20500,87000,72000,South France,Membership,Brown,1250,6250,-0.6951219512195121
2023-02-01,Paris,Retail,20500,87000,72000,South France,Membership,Multigrain,1050,5250,-0.7439024390243902
2023-02-01,Paris,Retail,20500,87000,72000,South France,Retail,White,2600,10400,-0.4926829268292683
2023-02-01,Paris,Retail,20500,87000,72000,South France,Retail,Brown,2200,8800,-0.5707317073170731
2023-02-01,Paris,Retail,20500,87000,72000,South France,Retail,Multigrain,1750,7000,-0.6585365853658537
2023-02-01,South France,Online,8200,36000,31000,Paris,Online,White,1850,9250,0.12804878048780488
2023-02-01,South France,Online,8200,36000,31000,Paris,Online,Brown,1550,7750,-0.054878048780487805
2023-02-01,South France,Online,8200,36000,31000,Paris,Online,Multigrain,1250,6250,-0.23780487804878048
2023-02-01,South France,Online,8200,36000,31000,Paris,Membership,White,2250,11250,0.3719512195121951
2023-02-01,South France,Online,8200,36000,31000,Paris,Membership,Brown,1950,9750,0.18902439024390244
2023-02-01,South France,Online,8200,36000,31000,Paris,Membership,Multigrain,1650,8250,0.006097560975609756
2023-02-01,South France,Online,8200,36000,31000,Paris,Retail,White,4600,18400,1.2439024390243902
2023-02-01,South France,Online,8200,36000,31000,Paris,Retail,Brown,3900,15600,0.9024390243902439
2023-02-01,South France,Online,8200,36000,31000,Paris,Retail,Multigrain,3100,12400,0.5121951219512195
2023-02-01,South France,Online,8200,36000,31000,South France,Online,White,1150,5750,-0.29878048780487804
2023-02-01,South France,Online,8200,36000,31000,South France,Online,Brown,950,4750,-0.42073170731707316
2023-02-01,South France,Online,8200,36000,31000,South France,Online,Multigrain,750,3750,-0.5426829268292683
2023-02-01,South France,Online,8200,36000,31000,South France,Membership,White,1450,7250,-0.11585365853658537
2023-02-01,South France,Online,8200,36000,31000,South France,Membership,Brown,1250,6250,-0.23780487804878048
2023-02-01,South France,Online,8200,36000,31000,South France,Membership,Multigrain,1050,5250,-0.3597560975609756
2023-02-01,South France,Online,8200,36000,31000,South France,Retail,White,2600,10400,0.2682926829268293
2023-02-01,South France,Online,8200,36000,31000,South France,Retail,Brown,2200,8800,0.07317073170731707
2023-02-01,South France,Online,8200,36000,31000,South France,Retail,Multigrain,1750,7000,-0.14634146341463414
2023-02-01,South France,Membership,10200,41000,36000,Paris,Online,White,1850,9250,-0.09313725490196079
2023-02-01,South France,Membership,10200,41000,36000,Paris,Online,Brown,1550,7750,-0.24019607843137256
2023-02-01,South France,Membership,10200,41000,36000,Paris,Online,Multigrain,1250,6250,-0.3872549019607843
2023-02-01,South France,Membership,10200,41000,36000,Paris,Membership,White,2250,11250,0.10294117647058823
2023-02-01,South France,Membership,10200,41000,36000,Paris,Membership,Brown,1950,9750,-0.04411764705882353
2023-02-01,South France,Membership,10200,41000,36000,Paris,Membership,Multigrain,1650,8250,-0.19117647058823528
2023-02-01,South France,Membership,10200,41000,36000,Paris,Retail,White,4600,18400,0.803921568627451
2023-02-01,South France,Membership,10200,41000,36000,Paris,Retail,Brown,3900,15600,0.5294117647058824
2023-02-01,South France,Membership,10200,41000,36000,Paris,Retail,Multigrain,3100,12400,0.21568627450980393
2023-02-01,South France,Membership,10200,41000,36000,South France,Online,White,1150,5750,-0.4362745098039216
2023-02-01,South France,Membership,10200,41000,36000,South France,Online,Brown,950,4750,-0.5343137254901961
2023-02-01,South France,Membership,10200,41000,36000,South France,Online,Multigrain,750,3750,-0.6323529411764706
2023-02-01,South France,Membership,10200,41000,36000,South France,Membership,White,1450,7250,-0.28921568627450983
2023-02-01,South France,Membership,10200,41000,36000,South France,Membership,Brown,1250,6250,-0.3872549019607843
2023-02-01,South France,Membership,10200,41000,36000,South France,Membership,Multigrain,1050,5250,-0.4852941176470588
2023-02-01,South France,Membership,10200,41000,36000,South France,Retail,White,2600,10400,0.0196078431372549
2023-02-01,South France,Membership,10200,41000,36000,South France,Retail,Brown,2200,8800,-0.13725490196078433
2023-02-01,South France,Membership,10200,41000,36000,South France,Retail,Multigrain,1750,7000,-0.3137254901960784
2023-02-01,South France,Retail,14200,61000,51000,Paris,Online,White,1850,9250,-0.3485915492957746
2023-02-01,South France,Retail,14200,61000,51000,Paris,Online,Brown,1550,7750,-0.45422535211267606
2023-02-01,South France,Retail,14200,61000,51000,Paris,Online,Multigrain,1250,6250,-0.5598591549295775
2023-02-01,South France,Retail,14200,61000,51000,Paris,Membership,White,2250,11250,-0.20774647887323944
2023-02-01,South France,Retail,14200,61000,51000,Paris,Membership,Brown,1950,9750,-0.31338028169014087
2023-02-01,South France,Retail,14200,61000,51000,Paris,Membership,Multigrain,1650,8250,-0.41901408450704225
2023-02-01,South France,Retail,14200,61000,51000,Paris,Retail,White,4600,18400,0.29577464788732394
2023-02-01,South France,Retail,14200,61000,51000,Paris,Retail,Brown,3900,15600,0.09859154929577464
2023-02-01,South France,Retail,14200,61000,51000,Paris,Retail,Multigrain,3100,12400,-0.1267605633802817
2023-02-01,South France,Retail,14200,61000,51000,South France,Online,White,1150,5750,-0.5950704225352113
2023-02-01,South France,Retail,14200,61000,51000,South France,Online,Brown,950,4750,-0.6654929577464789
2023-02-01,South France,Retail,14200,61000,51000,South France,Online,Multigrain,750,3750,-0.7359154929577465
2023-02-01,South France,Retail,14200,61000,51000,South France,Membership,White,1450,7250,-0.4894366197183099
2023-02-01,South France,Retail,14200,61000,51000,South France,Membership,Brown,1250,6250,-0.5598591549295775
2023-02-01,South France,Retail,14200,61000,51000,South France,Membership,Multigrain,1050,5250,-0.6302816901408451
2023-02-01,South France,Retail,14200,61000,51000,South France,Retail,White,2600,10400,-0.2676056338028169
2023-02-01,South France,Retail,14200,61000,51000,South France,Retail,Brown,2200,8800,-0.38028169014084506
2023-02-01,South France,Retail,14200,61000,51000,South France,Retail,Multigrain,1750,7000,-0.5070422535211268
2023-03-01,Paris,Online,13000,59000,49000,Paris,Online,White,1900,9500,-0.2692307692307692
2023-03-01,Paris,Online,13000,59000,49000,Paris,Online,Brown,1600,8000,-0.38461538461538464
2023-03-01,Paris,Online,13000,59000,49000,Paris,Online,Multigrain,1300,6500,-0.5
2023-03-01,Paris,Online,13000,59000,49000,Paris,Membership,White,2300,11500,-0.11538461538461539
2023-03-01,Paris,Online,13000,59000,49000,Paris,Membership,Brown,2000,10000,-0.23076923076923078
2023-03-01,Paris,Online,13000,59000,49000,Paris,Membership,Multigrain,1700,8500,-0.34615384615384615
2023-03-01,Paris,Online,13000,59000,49000,Paris,Retail,White,4700,18800,0.4461538461538462
2023-03-01,Paris,Online,13000,59000,49000,Paris,Retail,Brown,4000,16000,0.23076923076923078
2023-03-01,Paris,Online,13000,59000,49000,Paris,Retail,Multigrain,3200,12800,-0.015384615384615385
2023-03-01,Paris,Online,13000,59000,49000,South France,Online,White,1200,6000,-0.5384615384615384
2023-03-01,Paris,Online,13000,59000,49000,South France,Online,Brown,1000,5000,-0.6153846153846154
2023-03-01,Paris,Online,13000,59000,49000,South France,Online,Multigrain,800,4000,-0.6923076923076923
2023-03-01,Paris,Online,13000,59000,49000,South France,Membership,White,1500,7500,-0.4230769230769231
2023-03-01,Paris,Online,13000,59000,49000,South France,Membership,Brown,1300,6500,-0.5
2023-03-01,Paris,Online,13000,59000,49000,South France,Membership,Multigrain,1100,5500,-0.5769230769230769
2023-03-01,Paris,Online,13000,59000,49000,South France,Retail,White,2700,10800,-0.16923076923076924
2023-03-01,Paris,Online,13000,59000,49000,South France,Retail,Brown,2300,9200,-0.2923076923076923
2023-03-01,Paris,Online,13000,59000,49000,South France,Retail,Multigrain,1800,7200,-0.4461538461538462
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Online,White,1900,9500,-0.40625
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Online,Brown,1600,8000,-0.5
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Online,Multigrain,1300,6500,-0.59375
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Membership,White,2300,11500,-0.28125
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Membership,Brown,2000,10000,-0.375
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Membership,Multigrain,1700,8500,-0.46875
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Retail,White,4700,18800,0.175
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Retail,Brown,4000,16000,0.0
2023-03-01,Paris,Membership,16000,64000,54000,Paris,Retail,Multigrain,3200,12800,-0.2
2023-03-01,Paris,Membership,16000,64000,54000,South France,Online,White,1200,6000,-0.625
2023-03-01,Paris,Membership,16000,64000,54000,South France,Online,Brown,1000,5000,-0.6875
2023-03-01,Paris,Membership,16000,64000,54000,South France,Online,Multigrain,800,4000,-0.75
2023-03-01,Paris,Membership,16000,64000,54000,South France,Membership,White,1500,7500,-0.53125
2023-03-01,Paris,Membership,16000,64000,54000,South France,Membership,Brown,1300,6500,-0.59375
2023-03-01,Paris,Membership,16000,64000,54000,South France,Membership,Multigrain,1100,5500,-0.65625
2023-03-01,Paris,Membership,16000,64000,54000,South France,Retail,White,2700,10800,-0.325
2023-03-01,Paris,Membership,16000,64000,54000,South France,Retail,Brown,2300,9200,-0.425
2023-03-01,Paris,Membership,16000,64000,54000,South France,Retail,Multigrain,1800,7200,-0.55
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Online,White,1900,9500,-0.5476190476190477
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Online,Brown,1600,8000,-0.6190476190476191
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Online,Multigrain,1300,6500,-0.6904761904761905
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Membership,White,2300,11500,-0.4523809523809524
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Membership,Brown,2000,10000,-0.5238095238095238
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Membership,Multigrain,1700,8500,-0.5952380952380952
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Retail,White,4700,18800,-0.10476190476190476
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Retail,Brown,4000,16000,-0.23809523809523808
2023-03-01,Paris,Retail,21000,89000,74000,Paris,Retail,Multigrain,3200,12800,-0.3904761904761905
2023-03-01,Paris,Retail,21000,89000,74000,South France,Online,White,1200,6000,-0.7142857142857143
2023-03-01,Paris,Retail,21000,89000,74000,South France,Online,Brown,1000,5000,-0.7619047619047619
2023-03-01,Paris,Retail,21000,89000,74000,South France,Online,Multigrain,800,4000,-0.8095238095238095
2023-03-01,Paris,Retail,21000,89000,74000,South France,Membership,White,1500,7500,-0.6428571428571429
2023-03-01,Paris,Retail,21000,89000,74000,South France,Membership,Brown,1300,6500,-0.6904761904761905
2023-03-01,Paris,Retail,21000,89000,74000,South France,Membership,Multigrain,1100,5500,-0.7380952380952381
2023-03-01,Paris,Retail,21000,89000,74000,South France,Retail,White,2700,10800,-0.4857142857142857
2023-03-01,Paris,Retail,21000,89000,74000,South France,Retail,Brown,2300,9200,-0.5619047619047619
2023-03-01,Paris,Retail,21000,89000,74000,South France,Retail,Multigrain,1800,7200,-0.6571428571428571
2023-03-01,South France,Online,8400,37000,32000,Paris,Online,White,1900,9500,0.13095238095238096
2023-03-01,South France,Online,8400,37000,32000,Paris,Online,Brown,1600,8000,-0.047619047619047616
2023-03-01,South France,Online,8400,37000,32000,Paris,Online,Multigrain,1300,6500,-0.2261904761904762
2023-03-01,South France,Online,8400,37000,32000,Paris,Membership,White,2300,11500,0.36904761904761907
2023-03-01,South France,Online,8400,37000,32000,Paris,Membership,Brown,2000,10000,0.19047619047619047
2023-03-01,South France,Online,8400,37000,32000,Paris,Membership,Multigrain,1700,8500,0.011904761904761904
2023-03-01,South France,Online,8400,37000,32000,Paris,Retail,White,4700,18800,1.2380952380952381
2023-03-01,South France,Online,8400,37000,32000,Paris,Retail,Brown,4000,16000,0.9047619047619048
2023-03-01,South France,Online,8400,37000,32000,Paris,Retail,Multigrain,3200,12800,0.5238095238095238
2023-03-01,South France,Online,8400,37000,32000,South France,Online,White,1200,6000,-0.2857142857142857
2023-03-01,South France,Online,8400,37000,32000,South France,Online,Brown,1000,5000,-0.40476190476190477
2023-03-01,South France,Online,8400,37000,32000,South France,Online,Multigrain,800,4000,-0.5238095238095238
2023-03-01,South France,Online,8400,37000,32000,South France,Membership,White,1500,7500,-0.10714285714285714
2023-03-01,South France,Online,8400,37000,32000,South France,Membership,Brown,1300,6500,-0.2261904761904762
2023-03-01,South France,Online,8400,37000,32000,South France,Membership,Multigrain,1100,5500,-0.34523809523809523
2023-03-01,South France,Online,8400,37000,32000,South France,Retail,White,2700,10800,0.2857142857142857
2023-03-01,South France,Online,8400,37000,32000,South France,Retail,Brown,2300,9200,0.09523809523809523
